CompanyName,JobTitle,AppDay,AppMonth,AppYear,JobLink,FollowedUp
Make it Magic,Merchant,4,9,2026,N/A,0
Itexps,Instructor,4,8,2026,N/A,0
NPF,analyst,4,7,2026,N/A,0
Itexps,Instructor,4,7,2026,N/A,0
Google,googler,4,6,2026,N/A,0
Amazon,AWS Engineer,4,6,2026,N/A,0
Samsung,phone engineer,4,6,2026,N/A,0
Jackbox,funny man,4,5,2026,N/A,0
Howard and Sons Meat co,butcher,4,5,2026,N/A,0
Nintendo,Lawer,4,5,2026,N/A,0
PepsiCo,flavor snorter,4,5,2026,N/A,0
IDTech,Instructor,4,7,2026,N/A,0
United Airlines,analyst,4,4,2026,N/A,0
Blue Jets AI,analyst,4,8,2026,N/A,0
Microsoft,analyst,4,9,2026,N/A,0
